gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,correctness_history,selection_history,message,condition,model_logprobs
rSMFkjhskBteiyQMB,0,0,K,0.6666666666666666,[],[],[],[],"[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}]",yoked,"{'G': -0.4890546180718721, 'E': -1.7390546783626317, 'C': -2.2390546798706055, 'B': -2.4890546798706055, 'F': -5.4890546798706055, 'D': -5.7390546798706055, 'I': -5.8640546798706055, 'K': -6.1140546798706055, 'A': -7.1140546798706055, 'L': -7.3640546798706055, 'J': -7.4890546798706055, 'H': -7.9890546798706055}"
rSMFkjhskBteiyQMB,1,0,F,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}]",yoked,"{'F': -0.1133259231687945, 'B': -2.3633258329435103, 'G': -4.363326063455412, 'D': -9.488326072692871, 'J': -10.613326072692871, 'A': -11.113326072692871, 'C': -11.113326072692871, 'L': -12.113326072692871, 'E': -12.363326072692871, 'H': -12.363326072692871, 'I': -12.613326072692871, 'K': -12.613326072692871}"
rSMFkjhskBteiyQMB,2,0,H,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}]",yoked,"{'J': -0.014812488628892125, 'H': -4.264812468623205, 'D': -7.639812469482422, 'L': -9.514812469482422, 'I': -10.139812469482422, 'B': -11.514812469482422, 'K': -11.639812469482422, 'F': -11.764812469482422, 'A': -11.889812469482422, 'G': -13.014812469482422, 'C': -14.514812469482422, 'E': -15.264812469482422}"
rSMFkjhskBteiyQMB,3,0,J,0.6666666666666666,[],[],[],[],"[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}]",yoked,"{'A': -0.05494109520769567, 'D': -3.554941177368164, 'G': -4.304941169216144, 'L': -5.679941177368164, 'C': -6.054941177368164, 'B': -6.429941177368164, 'I': -6.429941177368164, 'F': -7.054941177368164, 'J': -7.054941120781926, 'K': -7.804941177368164, 'H': -10.554941177368164, 'E': -10.679941177368164}"
rSMFkjhskBteiyQMB,4,0,D,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}]",yoked,"{'D': -0.7071497438165695, 'A': -0.9571497440338135, 'G': -2.70714973967035, 'L': -3.9571497440338135, 'J': -4.207149488357406, 'I': -4.332149497957119, 'F': -5.707149505615234, 'B': -6.082149505615234, 'K': -7.582149505615234, 'C': -8.082149505615234, 'H': -8.082149505615234, 'E': -10.207149505615234}"
rSMFkjhskBteiyQMB,5,0,I,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}]",yoked,"{'C': -2.061717986843303, 'G': -0.3117180158264561, 'A': -2.311717986628506, 'I': -3.811717982697085, 'F': -4.06171798486646, 'B': -7.186717987060547, 'L': -7.436717987060547, 'D': -7.811717987060547, 'J': -8.436717987060547, 'K': -9.686717987060547, 'E': -10.686717987060547, 'H': -11.811717987060547}"
rSMFkjhskBteiyQMB,6,0,B,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}]",yoked,"{'B': -0.2056854215275177, 'G': -1.7056853743037066, 'C': -6.205685615539551, 'D': -8.33068561553955, 'F': -8.70568561553955, 'A': -9.95568561553955, 'J': -10.33068561553955, 'K': -10.83068561553955, 'I': -10.95568561553955, 'H': -12.20568561553955, 'L': -12.20568561553955, 'E': -12.33068561553955}"
rSMFkjhskBteiyQMB,7,0,L,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""This looks like a person giving a speech from a book again but this time with knees bent"",""message_number"":1}]",yoked,"{'G': -0.13816770786201527, 'B': -2.3881676188980414, 'F': -3.638167617768927, 'D': -5.263167858123779, 'A': -7.638167858123779, 'J': -7.763167858123779, 'C': -7.888167858123779, 'L': -8.263167381286621, 'I': -9.388167381286621, 'K': -10.138167381286621, 'H': -10.763167381286621, 'E': -11.513167381286621}"
rSMFkjhskBteiyQMB,8,0,C,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""This looks like a person with their arms raised up"",""message_number"":1},{""role"":""matcher"",""text"":""like its going in for a hug"",""message_number"":2}]",yoked,"{'A': -0.8341439363878942, 'D': -0.5841439364423467, 'B': -5.459144115447998, 'G': -6.834144115447998, 'C': -7.084144115447998, 'L': -7.084144115447998, 'J': -7.334144058861787, 'I': -9.20914363861084, 'K': -9.45914363861084, 'H': -9.58414363861084, 'F': -9.83414363861084, 'E': -11.08414363861084}"
rSMFkjhskBteiyQMB,9,0,G,1.0,[],[],[],[],"[{""role"":""describer"",""text"":""This one has a square on the left ( ear 1 ) and a 4 sided shape on the right (ear 2) it then has another shape that looks like a rectangle going down"",""message_number"":1},{""role"":""describer"",""text"":""it connects to a bigger 4 sided shape at the bottom (trapezium ) with a smaller triangle on the right hand side"",""message_number"":2},{""role"":""describer"",""text"":""kind of looks like a dog to me"",""message_number"":3}]",yoked,"{'B': -0.18728150405617044, 'G': -1.937281487178165, 'F': -3.937281608581543, 'A': -6.312281608581543, 'C': -6.437281608581543, 'D': -6.687281608581543, 'J': -7.312281531237253, 'K': -7.937281608581543, 'L': -8.062281608581543, 'I': -8.312281608581543, 'E': -9.937281608581543, 'H': -11.062281608581543}"
