gameId,trialNum,repNum,target,original_pct_correct,correct,message_history,target_history,correctness_history,selection_history,message,condition,model_logprobs
22dyGMRgestp8u5Lc,0,0,E,1.0,True,[],[],[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",backward,"{'G': -3.6451711654663086, 'D': -1.3951710464388585, 'E': -1.6451710147180094, 'C': -1.7701712846755981, 'B': -2.0201711654663086, 'A': -2.1451711654663086, 'F': -3.0201711654663086, 'H': -3.3951711654663086, 'I': -4.645171165466309, 'J': -5.270171165466309, 'L': -6.145171165466309, 'K': -6.395171165466309}"
22dyGMRgestp8u5Lc,1,0,H,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]",[true],"[""E""]","[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]",backward,"{'F': -2.1783533096313477, 'D': -1.5533534288406372, 'C': -1.6783534288406372, 'A': -1.8033534288406372, 'B': -1.9283534288406372, 'G': -2.8033533096313477, 'H': -2.9283533096313477, 'I': -3.4283533096313477, 'J': -4.428353309631348, 'E': -4.553353309631348, 'K': -6.178353309631348, 'L': -6.303353309631348}"
22dyGMRgestp8u5Lc,2,0,J,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]]","[""E"",""H""]","[true,true]","[""E"",""H""]","[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]",backward,"{'B': -2.0253536701202393, 'D': -1.9003536701202393, 'G': -1.9003536701202393, 'C': -2.0253536701202393, 'F': -2.0253536701202393, 'A': -2.1503536701202393, 'I': -2.5253536701202393, 'J': -2.7753536701202393, 'K': -4.27535343170166, 'L': -4.52535343170166, 'E': -5.02535343170166, 'H': -5.65035343170166}"
22dyGMRgestp8u5Lc,3,0,K,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]]","[""E"",""H"",""J""]","[true,true,true]","[""E"",""H"",""J""]","[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]",backward,"{'A': -2.136956214904785, 'D': -1.8869560956954956, 'C': -2.011956214904785, 'F': -2.011956214904785, 'G': -2.011956214904785, 'B': -2.136956214904785, 'I': -2.386956214904785, 'K': -3.011955211889237, 'L': -3.261956214904785, 'E': -5.511956214904785, 'H': -5.886956214904785, 'J': -6.261956214904785}"
22dyGMRgestp8u5Lc,4,0,G,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]]","[""E"",""H"",""J"",""K""]","[true,true,true,true]","[""E"",""H"",""J"",""K""]","[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]",backward,"{'F': -2.159804105758667, 'L': -1.909804105758667, 'G': -2.034804105758667, 'I': -2.034804105758667, 'D': -2.284804105758667, 'C': -2.409804105758667, 'A': -2.534804105758667, 'B': -2.534804105758667, 'J': -4.409804344177246, 'H': -4.784804344177246, 'K': -5.159804344177246, 'E': -5.284804344177246}"
22dyGMRgestp8u5Lc,5,0,F,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G""]","[true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G""]","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]",backward,"{'F': -1.8426117897033691, 'I': -1.7176117897033691, 'A': -2.092611789703369, 'C': -2.092611789703369, 'D': -2.092611789703369, 'L': -2.092611789703369, 'B': -2.342611789703369, 'G': -4.967611789703369, 'J': -5.092611789703369, 'H': -5.217611789703369, 'K': -5.342611789703369, 'E': -5.842611789703369}"
22dyGMRgestp8u5Lc,6,0,B,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F""]","[true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F""]","[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]",backward,"{'B': -2.0115795135498047, 'I': -1.5115794202548725, 'A': -1.8865793937567419, 'C': -1.8865795135498047, 'D': -1.8865795135498047, 'L': -2.0115794010146364, 'G': -5.261579513549805, 'F': -5.636579513549805, 'J': -6.636579513549805, 'E': -6.761579513549805, 'H': -6.886579513549805, 'K': -6.886579513549805}"
22dyGMRgestp8u5Lc,7,0,D,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[true,true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]",backward,"{'I': -1.2031549350240096, 'C': -1.7031550407409668, 'A': -1.8281550407409668, 'D': -1.8281550407409668, 'L': -1.9531550407409668, 'F': -5.328155040740967, 'G': -5.703155040740967, 'K': -5.828155040740967, 'J': -6.078155040740967, 'H': -6.453155040740967, 'B': -6.953155040740967, 'E': -7.453155040740967}"
22dyGMRgestp8u5Lc,8,0,I,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[true,true,true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]",backward,"{'C': -1.0335826873779297, 'A': -1.2835825997354513, 'I': -1.2835826100337135, 'L': -2.6585826873779297, 'B': -5.65858268737793, 'F': -6.53358268737793, 'G': -7.65858268737793, 'J': -7.65858268737793, 'H': -7.78358268737793, 'E': -8.40858268737793, 'D': -8.90858268737793, 'K': -9.65858268737793}"
22dyGMRgestp8u5Lc,9,0,A,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[true,true,true,true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]",backward,"{'C': -0.5561468005180359, 'A': -1.306146715624632, 'L': -2.0561466745835175, 'I': -5.556146621704102, 'B': -5.931146621704102, 'F': -6.306146621704102, 'G': -6.681146621704102, 'J': -7.431146621704102, 'H': -8.306146621704102, 'D': -8.556146621704102, 'K': -9.056146621704102, 'E': -9.306146621704102}"
