gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,message,condition,model_logprobs
rSMFkjhskBteiyQMB,0,0,K,0.6666666666666666,[],[],"[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}]",yoked,"{'I': -3.4620018005371094, 'A': -1.7120016813278198, 'B': -2.2120018005371094, 'H': -2.3370018005371094, 'K': -2.5870018005371094, 'C': -2.7120018005371094, 'G': -3.0870018005371094, 'F': -3.3370018005371094, 'D': -3.5870018005371094, 'J': -3.5870018005371094, 'E': -3.7120018005371094, 'L': -4.337001800537109}"
rSMFkjhskBteiyQMB,1,0,F,1.0,[],[],"[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}]",yoked,"{'A': -4.343474388122559, 'F': -4.468474388122559, 'G': -4.718474388122559, 'B': -4.905974388122559, 'K': -5.155974388122559, 'I': -5.218474388122559, 'E': -5.530974388122559, 'C': -5.593474388122559, 'J': -5.905974388122559, 'H': -5.968474388122559, 'D': -6.343474388122559, 'L': -6.718474388122559}"
rSMFkjhskBteiyQMB,2,0,H,1.0,[],[],"[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}]",yoked,"{'A': -4.818630695343018, 'I': -4.881130695343018, 'B': -6.381130695343018, 'C': -6.943630695343018, 'G': -7.068630695343018, 'J': -7.068630695343018, 'K': -7.318630695343018, 'D': -7.568630695343018, 'L': -7.631130695343018, 'E': -7.693630695343018, 'H': -7.943630695343018, 'F': -8.25613021850586}"
rSMFkjhskBteiyQMB,3,0,J,0.6666666666666666,[],[],"[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}]",yoked,"{'A': -2.73569917678833, 'B': -3.36069917678833, 'G': -3.48569917678833, 'H': -3.48569917678833, 'K': -3.48569917678833, 'C': -3.61069917678833, 'E': -3.98569917678833, 'F': -4.04819917678833, 'J': -4.11069917678833, 'I': -4.42319917678833, 'D': -4.73569917678833, 'L': -5.17319917678833}"
rSMFkjhskBteiyQMB,4,0,D,1.0,[],[],"[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}]",yoked,"{'K': -4.641093730926514, 'A': -5.328593730926514, 'B': -5.453593730926514, 'I': -5.641093730926514, 'G': -5.828593730926514, 'C': -6.641093730926514, 'E': -6.766093730926514, 'H': -6.828593730926514, 'D': -7.266093730926514, 'J': -7.391093730926514, 'F': -7.516093730926514, 'L': -7.516093730926514}"
rSMFkjhskBteiyQMB,5,0,I,1.0,[],[],"[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}]",yoked,"{'A': -3.533351182937622, 'J': -4.033350944519043, 'K': -4.033350944519043, 'I': -4.220850944519043, 'B': -4.345850944519043, 'C': -4.595850944519043, 'G': -4.595850944519043, 'F': -5.283350944519043, 'E': -5.470850944519043, 'H': -5.470850944519043, 'L': -5.595850944519043, 'D': -6.095850944519043}"
rSMFkjhskBteiyQMB,6,0,B,1.0,[],[],"[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}]",yoked,"{'A': -4.028540134429932, 'B': -4.403540134429932, 'C': -4.403540134429932, 'H': -4.528540134429932, 'F': -4.591040134429932, 'G': -4.591040134429932, 'D': -5.153540134429932, 'E': -5.466040134429932, 'K': -5.778540134429932, 'I': -5.841040134429932, 'L': -6.653540134429932, 'J': -6.778540134429932}"
rSMFkjhskBteiyQMB,7,0,L,1.0,[],[],"[{""role"":""describer"",""text"":""This looks like a person giving a speech from a book again but this time with knees bent"",""message_number"":1}]",yoked,"{'A': -1.8035755157470703, 'H': -2.0535755157470703, 'B': -2.1785755157470703, 'K': -2.3035755157470703, 'C': -2.4285755157470703, 'G': -2.6785755157470703, 'I': -2.9285755157470703, 'J': -2.9285755157470703, 'F': -3.0535755157470703, 'D': -3.1785755157470703, 'E': -3.4285755157470703, 'L': -3.6785755157470703}"
rSMFkjhskBteiyQMB,8,0,C,1.0,[],[],"[{""role"":""describer"",""text"":""This looks like a person with their arms raised up"",""message_number"":1},{""role"":""matcher"",""text"":""like its going in for a hug"",""message_number"":2}]",yoked,"{'C': -1.4792180061340332, 'B': -2.104218006134033, 'A': -2.354218006134033, 'D': -3.104218006134033, 'H': -3.104218006134033, 'G': -3.604218006134033, 'I': -3.729218006134033, 'K': -3.729218006134033, 'E': -4.104218006134033, 'J': -4.479218006134033, 'F': -4.604218006134033, 'L': -4.604218006134033}"
rSMFkjhskBteiyQMB,9,0,G,1.0,[],[],"[{""role"":""describer"",""text"":""This one has a square on the left ( ear 1 ) and a 4 sided shape on the right (ear 2) it then has another shape that looks like a rectangle going down"",""message_number"":1},{""role"":""describer"",""text"":""it connects to a bigger 4 sided shape at the bottom (trapezium ) with a smaller triangle on the right hand side"",""message_number"":2},{""role"":""describer"",""text"":""kind of looks like a dog to me"",""message_number"":3}]",yoked,"{'K': -4.824322700500488, 'H': -4.886822700500488, 'G': -4.949322700500488, 'I': -5.011822700500488, 'A': -5.136822700500488, 'J': -5.511822700500488, 'C': -5.824322700500488, 'E': -5.949322700500488, 'B': -6.011822700500488, 'F': -6.324322700500488, 'L': -6.636822700500488, 'D': -7.261822700500488}"
